date,platform,product_name,category,sub_category,region,units_sold,unit_price,revenue,discount,final_price,marketing_spend,holiday_flag,customer_rating,return_rate,stock_available,competitor_price,delivery_time_days,platform_fee,profit_margin,sentiment_score,day_of_week,month,year,promotion_type,customer_name,customer_age,mobile_number,customer_region
2024-12-15,Amazon,Smartphone,Electronics,Mobiles,North,191,623.05,95201.67,20,498.44,3764.19,0,2,0.08,103,664.08,6,24.92,0.27,-0.09,Sunday,12,2024,Flash Sale,Diya,35,9576158536,North
2025-01-06,Ajio,Shoes,Footwear,Casual Shoes,West,147,684.68,80517.89,20,547.74,299.85,0,3,0.12,80,656.23,6,27.39,0.31,-0.41,Monday,1,2025,Coupon,Saanvi,48,9240927889,West
2024-12-02,Myntra,Watch,Accessories,Watches,East,21,1921.53,28246.56,30,1345.07,4462.29,0,1,0.12,7,1855.47,4,67.25,0.24,-0.29,Monday,12,2024,Flash Sale,Aarav,44,9134205918,West
2025-01-02,Meesho,Watch,Accessories,Watches,West,169,1622.57,274214.15,0,1622.57,2326.67,0,4,0.04,339,1568.1,6,81.13,0.12,0.22,Thursday,1,2025,Coupon,Reyansh,33,9086915714,North
2025-01-14,Ajio,Shirt,Clothing,Topwear,South,83,366.94,30456.43,0,366.94,4738.16,0,5,0.13,95,267.48,2,18.35,0.38,0.47,Tuesday,1,2025,Bogo,Vivaan,27,9521521070,South
2024-12-30,Meesho,Shoes,Footwear,Casual Shoes,East,46,463.83,19202.57,10,417.45,2294.97,0,2,0.18,441,556.61,2,20.87,0.14,-0.94,Monday,12,2024,Flash Sale,Vivaan,57,9452616146,North
2024-12-23,Meesho,Jeans,Clothing,Bottomwear,East,73,1136.31,74655.77,10,1022.68,2216.85,0,1,0.04,15,1057.18,3,51.13,0.25,0.05,Monday,12,2024,None,Anaya,29,9230289471,East
2025-01-15,Meesho,Shirt,Clothing,Topwear,North,151,217.19,32796.08,0,217.19,418.01,0,3,0.08,64,260.79,4,10.86,0.31,0.88,Wednesday,1,2025,Bogo,Kiara,39,9269386039,North
2024-12-23,Amazon,Smartphone,Electronics,Mobiles,West,12,354.18,3825.13,10,318.76,683.2,0,4,0.1,144,378.23,2,15.94,0.14,-0.42,Monday,12,2024,None,Diya,33,9559542128,East
2024-12-22,Meesho,Shoes,Footwear,Casual Shoes,East,106,1180.02,100065.76,20,944.02,2724.16,0,3,0.08,261,1261.79,2,47.2,0.25,0.89,Sunday,12,2024,Bogo,Anaya,29,9220121756,South
2024-12-19,Meesho,Smartphone,Electronics,Mobiles,East,177,1370.87,242643.18,0,1370.87,1538.32,0,3,0.07,376,1448.1,5,68.54,0.27,0.33,Thursday,12,2024,Flash Sale,Myra,28,9051526282,East
2025-01-10,Ajio,Watch,Accessories,Watches,East,118,1878.68,199515.96,10,1690.81,1789.46,0,2,0.06,285,1952.03,6,84.54,0.38,-0.72,Friday,1,2025,Coupon,Ishaan,37,9637178759,North
2024-12-21,Meesho,Watch,Accessories,Watches,North,198,1002.06,138885.67,30,701.44,4275.84,0,1,0.01,50,1050.19,3,35.07,0.13,0.94,Saturday,12,2024,Bogo,Kabir,18,9060617122,North
2025-01-09,Flipkart,Shoes,Footwear,Casual Shoes,West,141,694.75,68571.64,30,486.32,201.15,0,5,0.09,223,654.36,3,24.32,0.1,-0.45,Thursday,1,2025,Coupon,Vivaan,44,9044948552,South
2025-01-05,Meesho,Jeans,Clothing,Bottomwear,West,83,578.93,33635.99,30,405.25,4889.38,0,2,0.1,129,494.93,5,20.26,0.28,0.2,Sunday,1,2025,Coupon,Diya,20,9496214248,North
2025-01-05,Meesho,Shirt,Clothing,Topwear,South,40,1480.67,53304.26,10,1332.61,4342.06,0,4,0.08,243,1423.42,2,66.63,0.19,-0.65,Sunday,1,2025,Bogo,Kiara,29,9903941107,South
2024-12-17,Myntra,Watch,Accessories,Watches,North,67,1005.28,67353.52,0,1005.28,2073.25,0,3,0.14,28,1044.21,1,50.26,0.29,-0.74,Tuesday,12,2024,Coupon,Diya,47,9121302490,South
2024-12-03,Myntra,Shirt,Clothing,Topwear,West,10,1260.18,8821.25,30,882.12,527.72,0,4,0.19,332,1266.7,1,44.11,0.21,-0.09,Tuesday,12,2024,None,Kabir,26,9353665819,North
2024-12-18,Myntra,Shirt,Clothing,Topwear,East,54,1151.25,43517.33,30,805.88,2873.49,0,2,0.11,332,1073.96,6,40.29,0.35,0.81,Wednesday,12,2024,None,Kabir,54,9779355402,West
2024-12-12,Myntra,Watch,Accessories,Watches,West,148,1294.02,172364.09,10,1164.62,1400.1,0,2,0.06,152,1220.01,5,58.23,0.13,0.03,Thursday,12,2024,None,Anaya,18,9671234247,East
2025-01-10,Amazon,Shoes,Footwear,Casual Shoes,South,42,1495.37,56524.94,10,1345.83,2172.09,0,5,0.07,324,1438.81,3,67.29,0.3,0.78,Friday,1,2025,Bogo,Saanvi,59,9715389170,West
2025-01-03,Ajio,Jeans,Clothing,Bottomwear,North,29,1417.1,28767.09,30,991.97,557.16,0,3,0.17,354,1508.32,6,49.6,0.11,0.66,Friday,1,2025,Coupon,Myra,21,9590128499,South
2024-12-22,Meesho,Jeans,Clothing,Bottomwear,East,147,584.02,68681.05,20,467.22,4920.19,0,2,0.02,91,676.31,6,23.36,0.16,-0.92,Sunday,12,2024,None,Myra,32,9194402489,East
2024-12-03,Amazon,Jeans,Clothing,Bottomwear,West,55,244.78,12116.65,10,220.3,4754.02,0,4,0.12,449,161.33,6,11.02,0.36,-0.91,Tuesday,12,2024,Coupon,Aarav,44,9070850746,West
2024-12-01,Myntra,Shoes,Footwear,Casual Shoes,West,36,1610.14,52168.58,10,1449.13,3261.01,0,5,0.17,316,1609.98,4,72.46,0.11,0.29,Sunday,12,2024,None,Myra,25,9665781615,North
2024-12-02,Ajio,Watch,Accessories,Watches,West,131,378.55,49589.94,0,378.55,515.7,0,4,0.07,320,454.62,1,18.93,0.38,0.97,Monday,12,2024,Bogo,Diya,40,9195106235,West
2024-12-23,Ajio,Jeans,Clothing,Bottomwear,North,34,1528.41,36376.15,30,1069.89,295.75,0,3,0.17,491,1546.95,2,53.49,0.12,-0.15,Monday,12,2024,Bogo,Myra,32,9438551567,East
2024-12-07,Myntra,Shirt,Clothing,Topwear,East,167,1470.7,196485.78,20,1176.56,3971.15,0,5,0.02,404,1375.28,3,58.83,0.31,-0.31,Saturday,12,2024,Bogo,Kiara,44,9789296607,East
2024-12-11,Meesho,Shirt,Clothing,Topwear,North,154,1051.19,145694.39,10,946.07,1286.93,0,5,0.03,473,1031.76,4,47.3,0.36,-0.2,Wednesday,12,2024,Coupon,Myra,48,9345249402,East
2025-01-08,Amazon,Watch,Accessories,Watches,North,179,442.68,63391.25,20,354.14,2843.48,0,5,0.03,469,361.88,1,17.71,0.26,-0.6,Wednesday,1,2025,Flash Sale,Vivaan,56,9206063864,East
2025-01-15,Meesho,Jeans,Clothing,Bottomwear,South,104,632.1,46016.96,30,442.47,3246.43,0,1,0.14,456,658.86,6,22.12,0.21,-0.35,Wednesday,1,2025,Coupon,Aarav,25,9689505037,West
2024-12-25,Myntra,Shirt,Clothing,Topwear,North,91,341.73,31097.18,0,341.73,3541.75,1,5,0.2,403,387.45,6,17.09,0.12,-0.77,Wednesday,12,2024,Coupon,Diya,47,9449770447,North
2024-12-31,Meesho,Watch,Accessories,Watches,South,25,1484.37,33398.3,10,1335.93,3967.96,1,4,0.05,456,1512.47,5,66.8,0.14,-0.55,Tuesday,12,2024,Coupon,Kabir,59,9066812306,North
2024-12-31,Meesho,Smartphone,Electronics,Mobiles,West,47,1157.95,48981.49,10,1042.16,3439.15,1,4,0.18,160,1244.04,4,52.11,0.17,-0.01,Tuesday,12,2024,Bogo,Anaya,35,9922278919,East
2024-12-18,Amazon,Smartphone,Electronics,Mobiles,West,86,1128.61,67942.41,30,790.03,3294.31,0,3,0.2,206,1137.48,6,39.5,0.11,-0.41,Wednesday,12,2024,Coupon,Ishaan,21,9908585107,North
2025-01-01,Meesho,Smartphone,Electronics,Mobiles,South,47,569.69,26775.5,0,569.69,3381.45,0,2,0.12,337,508.98,5,28.48,0.22,0.43,Wednesday,1,2025,None,Anaya,39,9207070888,West
2025-01-02,Amazon,Shoes,Footwear,Casual Shoes,North,166,948.86,157511.21,0,948.86,657.43,0,2,0.13,395,1043.25,6,47.44,0.12,0.88,Thursday,1,2025,Bogo,Saanvi,20,9234583501,North
2024-12-13,Flipkart,Watch,Accessories,Watches,North,91,1888.42,171846.01,0,1888.42,4903.81,0,1,0.1,16,1809.04,2,94.42,0.13,-0.19,Friday,12,2024,None,Ishaan,32,9739638837,South
2024-12-07,Flipkart,Shoes,Footwear,Casual Shoes,West,18,1328.55,16739.75,30,929.99,2114.04,0,5,0.18,207,1339.88,3,46.5,0.33,-0.45,Saturday,12,2024,Coupon,Kiara,52,9506027820,North
2024-12-14,Flipkart,Smartphone,Electronics,Mobiles,East,58,1907.74,110648.91,0,1907.74,188.81,0,1,0.01,252,1889.36,5,95.39,0.29,0.38,Saturday,12,2024,Bogo,Reyansh,55,9064055366,East
2024-12-31,Myntra,Watch,Accessories,Watches,East,59,808.47,47699.46,0,808.47,2258.13,1,3,0.15,99,716.66,2,40.42,0.37,0.68,Tuesday,12,2024,Coupon,Aarav,50,9804926330,North
2024-12-03,Flipkart,Jeans,Clothing,Bottomwear,East,66,1220.92,64464.38,20,976.73,241.04,0,3,0.12,65,1281.93,6,48.84,0.29,0.96,Tuesday,12,2024,Flash Sale,Kabir,31,9091107559,North
2024-12-17,Meesho,Shoes,Footwear,Casual Shoes,South,36,1229.06,39821.53,10,1106.15,3852.56,0,2,0.0,83,1184.24,1,55.31,0.11,-0.07,Tuesday,12,2024,Flash Sale,Anaya,18,9984357067,North
2025-01-01,Flipkart,Watch,Accessories,Watches,West,169,1521.65,257159.48,0,1521.65,4648.85,0,3,0.08,208,1608.39,3,76.08,0.34,-0.64,Wednesday,1,2025,Coupon,Myra,43,9876212335,North
2024-12-08,Myntra,Watch,Accessories,Watches,East,152,878.82,120222.48,10,790.94,3761.38,0,5,0.19,324,815.71,5,39.55,0.39,-0.67,Sunday,12,2024,Coupon,Aarav,25,9639585209,South
2025-01-02,Myntra,Shirt,Clothing,Topwear,East,45,1355.38,60992.19,0,1355.38,2137.29,0,4,0.05,245,1427.92,4,67.77,0.28,0.95,Thursday,1,2025,Coupon,Myra,33,9949927901,West
2024-12-19,Amazon,Shoes,Footwear,Casual Shoes,West,86,1275.36,76776.64,30,892.75,4982.98,0,3,0.14,443,1374.18,4,44.64,0.32,0.14,Thursday,12,2024,Flash Sale,Aarav,55,9227475138,East
2025-01-13,Ajio,Watch,Accessories,Watches,West,156,594.98,92817.37,0,594.98,2979.05,0,1,0.1,58,694.91,6,29.75,0.33,-1.0,Monday,1,2025,Coupon,Aarav,27,9344975965,East
2024-12-06,Ajio,Shirt,Clothing,Topwear,South,79,1339.03,105783.7,0,1339.03,4850.12,0,5,0.13,448,1393.73,4,66.95,0.39,-0.09,Friday,12,2024,Coupon,Saanvi,59,9442694618,North
2025-01-01,Flipkart,Jeans,Clothing,Bottomwear,East,152,341.0,41466.02,20,272.8,2130.71,0,3,0.07,83,383.26,5,13.64,0.33,0.29,Wednesday,1,2025,Flash Sale,Vivaan,54,9741576732,West
2024-12-05,Flipkart,Smartphone,Electronics,Mobiles,West,71,1011.76,71835.22,0,1011.76,2945.71,0,3,0.08,413,995.32,4,50.59,0.32,-0.52,Thursday,12,2024,Coupon,Kiara,43,9614603150,North
2024-12-31,Ajio,Smartphone,Electronics,Mobiles,West,130,458.4,59592.16,0,458.4,1241.92,1,5,0.16,109,491.16,1,22.92,0.19,-0.21,Tuesday,12,2024,Coupon,Myra,45,9620761628,South
2024-12-04,Meesho,Jeans,Clothing,Bottomwear,East,150,854.9,102588.53,20,683.92,1128.54,0,3,0.04,284,879.9,5,34.2,0.24,0.13,Wednesday,12,2024,Flash Sale,Myra,29,9746200170,West
2024-12-11,Myntra,Shirt,Clothing,Topwear,North,139,502.79,69887.63,0,502.79,4361.84,0,4,0.13,99,538.35,5,25.14,0.11,-0.21,Wednesday,12,2024,Bogo,Myra,37,9488160258,West
2024-12-10,Myntra,Smartphone,Electronics,Mobiles,North,38,647.97,19698.3,20,518.38,842.76,0,2,0.19,277,656.25,5,25.92,0.24,0.06,Tuesday,12,2024,None,Saanvi,31,9916312598,West
2024-12-11,Myntra,Watch,Accessories,Watches,North,99,1387.33,96141.99,30,971.13,2329.1,0,5,0.04,91,1482.53,3,48.56,0.27,-0.85,Wednesday,12,2024,Coupon,Anaya,52,9798338717,West
2024-12-27,Flipkart,Smartphone,Electronics,Mobiles,South,184,1856.85,341660.65,0,1856.85,3147.85,0,1,0.15,39,1875.35,2,92.84,0.21,-0.19,Friday,12,2024,Coupon,Diya,46,9088744243,North
2024-12-12,Ajio,Shirt,Clothing,Topwear,West,123,1814.25,200837.38,10,1632.82,4599.37,0,3,0.1,202,1864.6,5,81.64,0.11,-0.65,Thursday,12,2024,Flash Sale,Myra,29,9089325046,South
2024-12-15,Meesho,Smartphone,Electronics,Mobiles,South,66,1458.85,96284.38,0,1458.85,2151.18,0,2,0.15,175,1468.3,4,72.94,0.33,0.72,Sunday,12,2024,Coupon,Anaya,35,9198517700,West
2024-12-16,Flipkart,Shirt,Clothing,Topwear,North,195,1888.91,368337.94,0,1888.91,133.7,0,1,0.13,281,1932.34,2,94.45,0.37,0.82,Monday,12,2024,Coupon,Vivaan,19,9033709208,East
2024-12-14,Flipkart,Shoes,Footwear,Casual Shoes,North,153,118.96,12740.58,30,83.27,3516.65,0,1,0.09,85,187.62,3,4.16,0.14,-0.43,Saturday,12,2024,Coupon,Myra,19,9986704102,East
2024-12-05,Meesho,Shoes,Footwear,Casual Shoes,South,20,1767.18,28274.81,20,1413.74,1437.5,0,4,0.01,225,1839.6,1,70.69,0.2,0.86,Thursday,12,2024,Coupon,Kiara,34,9601132294,South
2024-12-20,Meesho,Jeans,Clothing,Bottomwear,North,31,1957.24,54607.08,10,1761.52,2515.49,0,2,0.02,30,1925.11,2,88.08,0.19,-0.4,Friday,12,2024,Flash Sale,Kabir,27,9264323102,East
2024-12-10,Ajio,Watch,Accessories,Watches,East,58,292.39,11871.19,30,204.68,3068.32,0,5,0.04,203,304.33,4,10.23,0.15,0.94,Tuesday,12,2024,Flash Sale,Reyansh,35,9100184875,North
2024-12-22,Amazon,Shoes,Footwear,Casual Shoes,East,110,925.61,101816.97,0,925.61,4267.47,0,2,0.11,120,890.85,1,46.28,0.28,-0.02,Sunday,12,2024,Coupon,Myra,39,9094069776,North
2024-12-24,Ajio,Watch,Accessories,Watches,South,120,1923.52,161575.42,30,1346.46,3615.13,1,2,0.07,383,1852.29,3,67.32,0.11,0.17,Tuesday,12,2024,Flash Sale,Diya,36,9143498377,South
2025-01-01,Meesho,Shoes,Footwear,Casual Shoes,North,26,1102.88,25807.5,10,992.6,1952.32,0,1,0.14,317,1096.88,6,49.63,0.17,-0.35,Wednesday,1,2025,Flash Sale,Kabir,18,9154193608,West
2025-01-04,Myntra,Smartphone,Electronics,Mobiles,South,196,116.47,18262.7,20,93.18,2695.26,0,4,0.1,386,16.74,5,4.66,0.31,0.72,Saturday,1,2025,Flash Sale,Kiara,41,9904671313,East
2024-12-04,Myntra,Jeans,Clothing,Bottomwear,North,143,1491.15,191911.09,10,1342.04,3042.53,0,4,0.04,172,1558.77,5,67.1,0.21,0.04,Wednesday,12,2024,Bogo,Saanvi,53,9551330124,East
2025-01-06,Flipkart,Shirt,Clothing,Topwear,North,98,172.59,16913.36,0,172.59,3299.66,0,2,0.14,249,191.31,6,8.63,0.35,-0.29,Monday,1,2025,Coupon,Reyansh,42,9752565950,South
2024-12-15,Myntra,Jeans,Clothing,Bottomwear,North,112,1876.83,189184.16,10,1689.14,2049.54,0,2,0.03,468,1929.41,1,84.46,0.25,0.23,Sunday,12,2024,None,Saanvi,53,9263368182,South
2024-12-02,Flipkart,Jeans,Clothing,Bottomwear,North,154,857.76,105676.0,20,686.21,2250.96,0,3,0.01,116,773.93,1,34.31,0.31,-0.88,Monday,12,2024,Flash Sale,Diya,48,9530857165,East
2024-12-30,Meesho,Jeans,Clothing,Bottomwear,West,100,1012.2,80976.39,20,809.76,898.22,0,1,0.17,256,1078.85,6,40.49,0.37,-0.36,Monday,12,2024,Flash Sale,Reyansh,48,9113327612,West
2024-12-16,Ajio,Shirt,Clothing,Topwear,East,155,731.01,113306.33,0,731.01,3602.29,0,5,0.08,374,733.47,3,36.55,0.11,0.39,Monday,12,2024,Coupon,Diya,19,9984127311,South
2025-01-09,Amazon,Shoes,Footwear,Casual Shoes,East,75,1363.13,81788.08,20,1090.51,1450.23,0,5,0.18,425,1350.69,2,54.53,0.34,-0.61,Thursday,1,2025,Bogo,Saanvi,36,9576318384,North
2025-01-14,Amazon,Jeans,Clothing,Bottomwear,North,12,1927.17,20813.4,10,1734.45,2582.79,0,4,0.11,397,1906.81,4,86.72,0.11,-0.2,Tuesday,1,2025,Bogo,Kiara,29,9641565297,East
2025-01-01,Flipkart,Shirt,Clothing,Topwear,South,39,1559.37,48652.34,20,1247.5,930.04,0,1,0.14,412,1473.84,1,62.37,0.14,0.76,Wednesday,1,2025,Coupon,Reyansh,27,9248466414,South
2024-12-05,Flipkart,Watch,Accessories,Watches,East,97,336.43,26107.07,20,269.15,4754.81,0,4,0.02,197,432.9,6,13.46,0.28,0.81,Thursday,12,2024,Flash Sale,Ishaan,48,9663052431,South
2025-01-09,Meesho,Jeans,Clothing,Bottomwear,South,27,514.02,13878.5,0,514.02,1363.0,0,5,0.1,356,417.5,3,25.7,0.18,-0.66,Thursday,1,2025,Coupon,Anaya,39,9646834893,South
2024-12-23,Myntra,Smartphone,Electronics,Mobiles,East,102,133.25,9513.81,30,93.27,636.51,0,2,0.2,72,90.06,3,4.66,0.18,-0.95,Monday,12,2024,Coupon,Kiara,40,9447336455,East
2024-12-04,Meesho,Shoes,Footwear,Casual Shoes,South,140,809.29,101970.25,10,728.36,4497.41,0,1,0.16,54,740.52,2,36.42,0.36,-0.18,Wednesday,12,2024,None,Reyansh,40,9594487367,North
2024-12-13,Ajio,Shoes,Footwear,Casual Shoes,South,70,907.07,57145.15,10,816.36,3072.99,0,1,0.02,303,873.67,2,40.82,0.34,0.65,Friday,12,2024,Coupon,Diya,32,9842395948,North
2025-01-09,Ajio,Shirt,Clothing,Topwear,East,85,755.84,44972.58,30,529.09,1773.38,0,3,0.12,357,709.74,2,26.45,0.12,-0.86,Thursday,1,2025,None,Diya,43,9215640223,East
2025-01-10,Myntra,Smartphone,Electronics,Mobiles,South,192,1208.07,162364.72,30,845.65,3543.68,0,2,0.05,467,1258.5,2,42.28,0.37,0.64,Friday,1,2025,None,Vivaan,20,9954058077,South
2024-12-28,Amazon,Shirt,Clothing,Topwear,North,114,438.83,35018.62,30,307.18,2969.25,0,2,0.03,93,365.83,3,15.36,0.27,-0.28,Saturday,12,2024,Coupon,Kiara,40,9287294248,East
2025-01-13,Myntra,Jeans,Clothing,Bottomwear,West,162,1371.73,199998.12,10,1234.56,1177.96,0,4,0.14,405,1373.55,1,61.73,0.2,0.64,Monday,1,2025,Coupon,Diya,37,9352247727,East
2024-12-07,Flipkart,Jeans,Clothing,Bottomwear,North,103,444.18,36600.74,20,355.35,4311.14,0,1,0.04,446,365.56,2,17.77,0.16,0.84,Saturday,12,2024,Bogo,Aarav,57,9729919186,South
2025-01-04,Ajio,Shirt,Clothing,Topwear,South,13,844.18,10974.39,0,844.18,3212.27,0,4,0.0,432,825.5,5,42.21,0.26,-0.35,Saturday,1,2025,None,Anaya,56,9567072253,East
2025-01-10,Myntra,Shoes,Footwear,Casual Shoes,East,174,465.13,72839.08,10,418.62,1588.23,0,2,0.05,227,491.73,3,20.93,0.18,0.82,Friday,1,2025,Bogo,Saanvi,25,9339872000,West
2024-12-24,Ajio,Jeans,Clothing,Bottomwear,West,53,1261.17,46789.37,30,882.82,952.42,1,3,0.13,70,1186.73,6,44.14,0.26,0.99,Tuesday,12,2024,Flash Sale,Kabir,35,9353277589,North
2025-01-02,Ajio,Jeans,Clothing,Bottomwear,South,42,291.43,9792.06,20,233.14,1429.8,0,1,0.14,248,213.99,1,11.66,0.39,0.39,Thursday,1,2025,None,Vivaan,58,9075034678,West
2024-12-06,Amazon,Shoes,Footwear,Casual Shoes,West,73,964.92,49307.32,30,675.44,2376.53,0,2,0.08,494,984.92,3,33.77,0.31,0.72,Friday,12,2024,Flash Sale,Diya,23,9598372393,West
2024-12-15,Flipkart,Shirt,Clothing,Topwear,South,38,904.34,30928.32,10,813.9,4586.79,0,3,0.05,429,936.15,5,40.7,0.39,0.37,Sunday,12,2024,Coupon,Aarav,44,9585048452,West
2025-01-06,Flipkart,Watch,Accessories,Watches,East,24,1087.05,26089.28,0,1087.05,3307.37,0,5,0.16,112,1105.44,6,54.35,0.23,0.1,Monday,1,2025,Bogo,Vivaan,53,9793349876,East
